id,name,name_reverse,class,label,subject_class,object_class,new_class
176,schloss Schule ab,Schule wurde abgeschlossen,person institution relation,schloss Schule ab,person,institution,AusbildungAn
1369,absolviert Studium an,hat Absolvent,person institution relation,absolviert Studium an,person,institution,AusbildungAn
1371,absolviert Studienaufenthalt an,,person institution relation,absolviert Studienaufenthalt an,person,institution,AusbildungAn
1385,hat sich habilitiert,,person institution relation,hat sich habilitiert,person,institution,AusbildungAn
1386,hat promoviert,,person institution relation,hat promoviert,person,institution,AusbildungAn
1387,ägyptische Altertumskunde,,person institution relation,hat sich habilitiert >> ägyptische Altertumskunde,person,institution,AusbildungAn
1388,ägyptische Altertumskunde,,person institution relation,hat promoviert >> ägyptische Altertumskunde,person,institution,AusbildungAn
1389,Ägyptologie,,person institution relation,hat sich habilitiert >> Ägyptologie,person,institution,AusbildungAn
1390,Ägyptologie,,person institution relation,hat promoviert >> Ägyptologie,person,institution,AusbildungAn
1391,Ägyptologie und Afrikanistik,,person institution relation,hat sich habilitiert >> Ägyptologie und Afrikanistik,person,institution,AusbildungAn
1392,Ägyptologie und Afrikanistik,,person institution relation,hat promoviert >> Ägyptologie und Afrikanistik,person,institution,AusbildungAn
1393,allgemeine Chemie,,person institution relation,hat sich habilitiert >> allgemeine Chemie,person,institution,AusbildungAn
1394,allgemeine Chemie,,person institution relation,hat promoviert >> allgemeine Chemie,person,institution,AusbildungAn
1395,allgemeine Geschichte,,person institution relation,hat sich habilitiert >> allgemeine Geschichte,person,institution,AusbildungAn
1396,allgemeine Geschichte,,person institution relation,hat promoviert >> allgemeine Geschichte,person,institution,AusbildungAn
1397,allgemeine Mechanik,,person institution relation,hat sich habilitiert >> allgemeine Mechanik,person,institution,AusbildungAn
1398,allgemeine Mechanik,,person institution relation,hat promoviert >> allgemeine Mechanik,person,institution,AusbildungAn
1399,allgemeine neuere Geschichte,,person institution relation,hat sich habilitiert >> allgemeine neuere Geschichte,person,institution,AusbildungAn
1400,allgemeine neuere Geschichte,,person institution relation,hat promoviert >> allgemeine neuere Geschichte,person,institution,AusbildungAn
1401,"allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",,person institution relation,"hat sich habilitiert >> allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",person,institution,AusbildungAn
1402,"allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",,person institution relation,"hat promoviert >> allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",person,institution,AusbildungAn
1403,allgemeine und experimentelle Pathologie,,person institution relation,hat sich habilitiert >> allgemeine und experimentelle Pathologie,person,institution,AusbildungAn
1404,allgemeine und experimentelle Pathologie,,person institution relation,hat promoviert >> allgemeine und experimentelle Pathologie,person,institution,AusbildungAn
1405,allgemeine und indogermanische Sprachwissenschaft,,person institution relation,hat sich habilitiert >> allgemeine und indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1406,allgemeine und indogermanische Sprachwissenschaft,,person institution relation,hat promoviert >> allgemeine und indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1407,allgemeine und österreichische Geschichte,,person institution relation,hat sich habilitiert >> allgemeine und österreichische Geschichte,person,institution,AusbildungAn
1408,allgemeine und österreichische Geschichte,,person institution relation,hat promoviert >> allgemeine und österreichische Geschichte,person,institution,AusbildungAn
1409,allgemeine und pharmazeutische Chemie,,person institution relation,hat sich habilitiert >> allgemeine und pharmazeutische Chemie,person,institution,AusbildungAn
1410,allgemeine und pharmazeutische Chemie,,person institution relation,hat promoviert >> allgemeine und pharmazeutische Chemie,person,institution,AusbildungAn
1411,allgemeine und spezielle Tierzucht- und Fütterungslehre,,person institution relation,hat sich habilitiert >> allgemeine und spezielle Tierzucht- und Fütterungslehre,person,institution,AusbildungAn
1412,allgemeine und spezielle Tierzucht- und Fütterungslehre,,person institution relation,hat promoviert >> allgemeine und spezielle Tierzucht- und Fütterungslehre,person,institution,AusbildungAn
1413,allgemeine und technische Chemie,,person institution relation,hat sich habilitiert >> allgemeine und technische Chemie,person,institution,AusbildungAn
1414,allgemeine und technische Chemie,,person institution relation,hat promoviert >> allgemeine und technische Chemie,person,institution,AusbildungAn
1415,allgemeine und vergleichende indogermanische Sprachwissenschaft,,person institution relation,hat sich habilitiert >> allgemeine und vergleichende indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1416,allgemeine und vergleichende indogermanische Sprachwissenschaft,,person institution relation,hat promoviert >> allgemeine und vergleichende indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1417,allgemeine Weltgeschichte und österreichische Staatengeschichte,,person institution relation,hat sich habilitiert >> allgemeine Weltgeschichte und österreichische Staatengeschichte,person,institution,AusbildungAn
1418,allgemeine Weltgeschichte und österreichische Staatengeschichte,,person institution relation,hat promoviert >> allgemeine Weltgeschichte und österreichische Staatengeschichte,person,institution,AusbildungAn
1419,allgemeine Zoologie und Parasitenkunde,,person institution relation,hat sich habilitiert >> allgemeine Zoologie und Parasitenkunde,person,institution,AusbildungAn
1420,allgemeine Zoologie und Parasitenkunde,,person institution relation,hat promoviert >> allgemeine Zoologie und Parasitenkunde,person,institution,AusbildungAn
1421,alte Geschichte,,person institution relation,hat sich habilitiert >> alte Geschichte,person,institution,AusbildungAn
1422,alte Geschichte,,person institution relation,hat promoviert >> alte Geschichte,person,institution,AusbildungAn
1423,alte Geschichte und Epigraphik,,person institution relation,hat sich habilitiert >> alte Geschichte und Epigraphik,person,institution,AusbildungAn
1424,alte Geschichte und Epigraphik,,person institution relation,hat promoviert >> alte Geschichte und Epigraphik,person,institution,AusbildungAn
1425,"alte Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat sich habilitiert >> alte Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1426,"alte Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat promoviert >> alte Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1427,ältere deutsche Sprache und Literatur,,person institution relation,hat sich habilitiert >> ältere deutsche Sprache und Literatur,person,institution,AusbildungAn
