"id","label","isoCode_639_3","label_type_id","temp_entity_id","end_date","end_date_written","end_end_date","end_start_date","start_date","start_date_written","start_end_date","start_start_date","name"
2,Höhlen-Kommission,deu,27,153,,,,,,,,,alternative name (short)
3,Mazohl-Wallnig,deu,27,4293,,,,,,,,,alternative name (short)
5,Adria-Kommission,deu,27,98,,,,,,,,,alternative name (short)
6,Atlas von Niederösterreich,deu,27,8,,,,,,,,,alternative name (short)
7,Balkan-Kommission,deu,28,12,,,,,,,,,collective term
8,Bibliothekskommission,deu,27,14,,,,,,,,,alternative name (short)
9,Druckschriften-Kommission,deu,27,7303,,,,,,,,,alternative name (short)
10,Kommission für den Mayer-Gunthof-Fonds,deu,27,40,,,,,,,,,alternative name (short)
11,Kommission für die Much-Preisstiftung,deu,27,42,,,,,,,,,alternative name (short)
12,Phonogrammarchivs-Kommission,deu,28,52,,,,,,,,,collective term
13,Phonogrammarchivs-Kommission,deu,27,7305,,,,,,,,,alternative name (short)
14,Prähistorische Kommission,deu,28,56,,,,,,,,,collective term
15,Prähistorische Kommission,deu,27,7308,,,,,,,,,alternative name (short)
16,Balkan-Kommission,deu,28,7289,,,,,,,,,collective term
17,Fauna-Kommission,deu,27,127,,,,,,,,,alternative name (short)
18,Mittelmeer-Kommission,deu,27,174,,,,,,,,,alternative name (short)
19,Mittelmeer-Kommission,deu,28,184,,,,,,,,,collective term
20,Novara-Kommission,deu,27,180,,,,,,,,,alternative name (short)
21,Petrographische Kommission,deu,27,186,,,,,,,,,alternative name (short)
22,Radium-Kommission,deu,27,197,,,,,,,,,alternative name (short)
23,Tunnel-Kommission,deu,28,229,,,,,,,,,collective term
24,Tunnel-Kommission,deu,27,7327,,,,,,,,,alternative name (short)
25,Kommission für die Wagner-Jauregg-Widmung,deu,27,231,,,,,,,,,alternative name (short)
26,Kommission für die Weltumsegelungsexpedition,deu,27,241,,,,,,,,,alternative name (short)
27,Altsüdarabisches Wörterbuch,deu,27,251,,,,,,,,,alternative name (short)
28,Übersetzungskommission,deu,27,407,,,,,,,,,alternative name (short)
29,Atlas-Kommission,deu,27,257,,,,,,,,,alternative name (short)
30,Corpus Signorum Imperii Romani (CSIR),deu,27,270,,,,,,,,,alternative name (short)
31,Corpus vasorum antiquorum (CVA),deu,27,272,,,,,,,,,alternative name (short)
33,Grabreliefskommission,deu,27,297,,,,,,,,,alternative name (short)
