label_original,label_new
Mitglied >> Reichsbürger,Reichsbürger
Mitglied >> Ausländer,Ausländer
Mitglied >> Kommissionsmitglied >> kooptiertes Mitglied,Kooptiertes Mitglied Kommission
Mitglied >> politische Körperschaft,Politische Körperschaft
Mitglied >> korrespondierendes Mitglied,Korrespondierendes Mitglied
Mitglied >> auswärtiges Mitglied,Auswärtiges Mitglied
Mitglied >> ordentliches auswärtiges Mitglied,Ordentliches Auswärtiges Mitglied
Mitglied >> außerordentliches Mitglied (aoM),Außerordentliches Mitglied (aoM)
Mitglied >> politische Partei,Politische Partei
Mitglied >> nationalsozialistische Vereinigung,Nationalsozialistische Vereinigung
Mitglied >> Anwärter(in),Anwärter(in)
Mitglied >> Anwärter(in) >> politische Partei,Anwärter(in) Politische Partei
Mitglied >> Anwärter(in) >> nationalsozialistische Vereinigung,Anwärter(in) Nationalsozialistische Vereinigung
Mitglied >> förderndes Mitglied,Förderndes Mitglied
Mitglied >> förderndes Mitglied >> nationalsozialistische Vereinigung,Förderndes Mitglied Nationalsozialistische Vereinigung
Mitglied,Mitglied
